Indicador,Nombre_Indicador,Año,Estado,Clave_Estado,Valor
6200089270,tomas_macromedidor_descompuesto,2018,Baja California,2,3
6200089270,tomas_macromedidor_descompuesto,2020,Baja California,2,3
6200089270,tomas_macromedidor_descompuesto,2016,Baja California Sur,3,41
6200089270,tomas_macromedidor_descompuesto,2018,Baja California Sur,3,45
6200089270,tomas_macromedidor_descompuesto,2020,Baja California Sur,3,44
6200089270,tomas_macromedidor_descompuesto,2016,Campeche,4,243
6200089270,tomas_macromedidor_descompuesto,2018,Campeche,4,317
6200089270,tomas_macromedidor_descompuesto,2020,Campeche,4,318
6200089270,tomas_macromedidor_descompuesto,2016,Coahuila,5,17
6200089270,tomas_macromedidor_descompuesto,2018,Coahuila,5,53
6200089270,tomas_macromedidor_descompuesto,2020,Coahuila,5,58
6200089270,tomas_macromedidor_descompuesto,2016,Colima,6,66
6200089270,tomas_macromedidor_descompuesto,2018,Colima,6,67
6200089270,tomas_macromedidor_descompuesto,2020,Colima,6,103
6200089270,tomas_macromedidor_descompuesto,2016,Chiapas,7,27
6200089270,tomas_macromedidor_descompuesto,2018,Chiapas,7,49
6200089270,tomas_macromedidor_descompuesto,2020,Chiapas,7,40
6200089270,tomas_macromedidor_descompuesto,2016,Chihuahua,8,80
6200089270,tomas_macromedidor_descompuesto,2018,Chihuahua,8,62
6200089270,tomas_macromedidor_descompuesto,2020,Chihuahua,8,51
6200089270,tomas_macromedidor_descompuesto,2016,Ciudad de México,9,67
6200089270,tomas_macromedidor_descompuesto,2018,Ciudad de México,9,0
6200089270,tomas_macromedidor_descompuesto,2020,Ciudad de México,9,36
6200089270,tomas_macromedidor_descompuesto,2016,Durango,10,71
6200089270,tomas_macromedidor_descompuesto,2018,Durango,10,64
6200089270,tomas_macromedidor_descompuesto,2020,Durango,10,66
6200089270,tomas_macromedidor_descompuesto,2016,Guanajuato,11,41
6200089270,tomas_macromedidor_descompuesto,2018,Guanajuato,11,45
6200089270,tomas_macromedidor_descompuesto,2020,Guanajuato,11,50
6200089270,tomas_macromedidor_descompuesto,2016,Guerrero,12,31
6200089270,tomas_macromedidor_descompuesto,2018,Guerrero,12,50
6200089270,tomas_macromedidor_descompuesto,2020,Guerrero,12,37
6200089270,tomas_macromedidor_descompuesto,2016,Hidalgo,13,77
6200089270,tomas_macromedidor_descompuesto,2018,Hidalgo,13,112
6200089270,tomas_macromedidor_descompuesto,2020,Hidalgo,13,142
6200089270,tomas_macromedidor_descompuesto,2016,Jalisco,14,253
6200089270,tomas_macromedidor_descompuesto,2018,Jalisco,14,271
6200089270,tomas_macromedidor_descompuesto,2020,Jalisco,14,262
6200089270,tomas_macromedidor_descompuesto,2016,Estado de México,15,257
6200089270,tomas_macromedidor_descompuesto,2018,Estado de México,15,131
6200089270,tomas_macromedidor_descompuesto,2020,Estado de México,15,268
6200089270,tomas_macromedidor_descompuesto,2016,Michoacán,16,143
6200089270,tomas_macromedidor_descompuesto,2018,Michoacán,16,140
6200089270,tomas_macromedidor_descompuesto,2020,Michoacán,16,153
6200089270,tomas_macromedidor_descompuesto,2016,Morelos,17,54
6200089270,tomas_macromedidor_descompuesto,2018,Morelos,17,74
6200089270,tomas_macromedidor_descompuesto,2020,Morelos,17,86
6200089270,tomas_macromedidor_descompuesto,2016,Nayarit,18,47
6200089270,tomas_macromedidor_descompuesto,2018,Nayarit,18,51
6200089270,tomas_macromedidor_descompuesto,2020,Nayarit,18,53
6200089270,tomas_macromedidor_descompuesto,2016,Nuevo León,19,22
6200089270,tomas_macromedidor_descompuesto,2018,Nuevo León,19,24
6200089270,tomas_macromedidor_descompuesto,2020,Nuevo León,19,42
6200089270,tomas_macromedidor_descompuesto,2016,Oaxaca,20,120
6200089270,tomas_macromedidor_descompuesto,2018,Oaxaca,20,121
6200089270,tomas_macromedidor_descompuesto,2020,Oaxaca,20,99
6200089270,tomas_macromedidor_descompuesto,2016,Puebla,21,50
6200089270,tomas_macromedidor_descompuesto,2018,Puebla,21,51
6200089270,tomas_macromedidor_descompuesto,2020,Puebla,21,69
6200089270,tomas_macromedidor_descompuesto,2016,Querétaro,22,1
6200089270,tomas_macromedidor_descompuesto,2018,Querétaro,22,0
6200089270,tomas_macromedidor_descompuesto,2020,Querétaro,22,1
6200089270,tomas_macromedidor_descompuesto,2016,Quintana Roo,23,104
6200089270,tomas_macromedidor_descompuesto,2018,Quintana Roo,23,68
6200089270,tomas_macromedidor_descompuesto,2020,Quintana Roo,23,129
6200089270,tomas_macromedidor_descompuesto,2016,San Luis Potosí,24,23
6200089270,tomas_macromedidor_descompuesto,2018,San Luis Potosí,24,75
6200089270,tomas_macromedidor_descompuesto,2020,San Luis Potosí,24,52
6200089270,tomas_macromedidor_descompuesto,2016,Sinaloa,25,56
6200089270,tomas_macromedidor_descompuesto,2018,Sinaloa,25,93
6200089270,tomas_macromedidor_descompuesto,2020,Sinaloa,25,90
6200089270,tomas_macromedidor_descompuesto,2016,Sonora,26,143
6200089270,tomas_macromedidor_descompuesto,2018,Sonora,26,86
6200089270,tomas_macromedidor_descompuesto,2020,Sonora,26,122
6200089270,tomas_macromedidor_descompuesto,2016,Tabasco,27,2
6200089270,tomas_macromedidor_descompuesto,2018,Tabasco,27,3
6200089270,tomas_macromedidor_descompuesto,2020,Tabasco,27,7
6200089270,tomas_macromedidor_descompuesto,2016,Tamaulipas,28,22
6200089270,tomas_macromedidor_descompuesto,2018,Tamaulipas,28,56
6200089270,tomas_macromedidor_descompuesto,2020,Tamaulipas,28,50
6200089270,tomas_macromedidor_descompuesto,2016,Tlaxcala,29,59
6200089270,tomas_macromedidor_descompuesto,2018,Tlaxcala,29,78
6200089270,tomas_macromedidor_descompuesto,2020,Tlaxcala,29,92
6200089270,tomas_macromedidor_descompuesto,2016,Veracruz,30,151
6200089270,tomas_macromedidor_descompuesto,2018,Veracruz,30,154
6200089270,tomas_macromedidor_descompuesto,2020,Veracruz,30,204
6200089270,tomas_macromedidor_descompuesto,2016,Yucatán,31,539
6200089270,tomas_macromedidor_descompuesto,2018,Yucatán,31,379
6200089270,tomas_macromedidor_descompuesto,2020,Yucatán,31,228
6200089270,tomas_macromedidor_descompuesto,2016,Zacatecas,32,182
6200089270,tomas_macromedidor_descompuesto,2018,Zacatecas,32,340
6200089270,tomas_macromedidor_descompuesto,2020,Zacatecas,32,514
6200089271,tomas_macromedidor_funcionando,2016,Aguascalientes,1,408
6200089271,tomas_macromedidor_funcionando,2018,Aguascalientes,1,421
6200089271,tomas_macromedidor_funcionando,2020,Aguascalientes,1,437
6200089271,tomas_macromedidor_funcionando,2016,Baja California,2,112
6200089271,tomas_macromedidor_funcionando,2018,Baja California,2,117
6200089271,tomas_macromedidor_funcionando,2020,Baja California,2,119
6200089271,tomas_macromedidor_funcionando,2016,Baja California Sur,3,92
6200089271,tomas_macromedidor_funcionando,2018,Baja California Sur,3,86
6200089271,tomas_macromedidor_funcionando,2020,Baja California Sur,3,94
6200089271,tomas_macromedidor_funcionando,2016,Campeche,4,116
6200089271,tomas_macromedidor_funcionando,2018,Campeche,4,50
6200089271,tomas_macromedidor_funcionando,2020,Campeche,4,60
6200089271,tomas_macromedidor_funcionando,2016,Coahuila,5,251
6200089271,tomas_macromedidor_funcionando,2018,Coahuila,5,215
6200089271,tomas_macromedidor_funcionando,2020,Coahuila,5,223
6200089271,tomas_macromedidor_funcionando,2016,Colima,6,120
6200089271,tomas_macromedidor_funcionando,2018,Colima,6,126
6200089271,tomas_macromedidor_funcionando,2020,Colima,6,101
6200089271,tomas_macromedidor_funcionando,2016,Chiapas,7,60
6200089271,tomas_macromedidor_funcionando,2018,Chiapas,7,56
6200089271,tomas_macromedidor_funcionando,2020,Chiapas,7,67
6200089271,tomas_macromedidor_funcionando,2016,Chihuahua,8,505
