Indicador,Nombre_Indicador,Año,Valor,Estado,Clave_Estado
6200089265,tomas_sin_macromedidor,2018,418.00000000000000000000,Guerrero,12
6200089265,tomas_sin_macromedidor,2020,453.00000000000000000000,Guerrero,12
6200089265,tomas_sin_macromedidor,2010,323.00000000000000000000,Hidalgo,13
6200089265,tomas_sin_macromedidor,2012,370.00000000000000000000,Hidalgo,13
6200089265,tomas_sin_macromedidor,2014,664.00000000000000000000,Hidalgo,13
6200089265,tomas_sin_macromedidor,2016,577.00000000000000000000,Hidalgo,13
6200089265,tomas_sin_macromedidor,2018,652.00000000000000000000,Hidalgo,13
6200089265,tomas_sin_macromedidor,2020,692.00000000000000000000,Hidalgo,13
6200089265,tomas_sin_macromedidor,2010,918.00000000000000000000,Jalisco,14
6200089265,tomas_sin_macromedidor,2012,848.00000000000000000000,Jalisco,14
6200089265,tomas_sin_macromedidor,2014,925.00000000000000000000,Jalisco,14
6200089265,tomas_sin_macromedidor,2016,854.00000000000000000000,Jalisco,14
6200089265,tomas_sin_macromedidor,2018,900.00000000000000000000,Jalisco,14
6200089265,tomas_sin_macromedidor,2020,924.00000000000000000000,Jalisco,14
6200089265,tomas_sin_macromedidor,2010,404.00000000000000000000,Estado de México,15
6200089265,tomas_sin_macromedidor,2012,453.00000000000000000000,Estado de México,15
6200089265,tomas_sin_macromedidor,2014,540.00000000000000000000,Estado de México,15
6200089265,tomas_sin_macromedidor,2016,343.00000000000000000000,Estado de México,15
6200089265,tomas_sin_macromedidor,2018,354.00000000000000000000,Estado de México,15
6200089265,tomas_sin_macromedidor,2020,451.00000000000000000000,Estado de México,15
6200089265,tomas_sin_macromedidor,2010,256.00000000000000000000,Michoacán,16
6200089265,tomas_sin_macromedidor,2012,291.00000000000000000000,Michoacán,16
6200089265,tomas_sin_macromedidor,2014,216.00000000000000000000,Michoacán,16
6200089265,tomas_sin_macromedidor,2016,262.00000000000000000000,Michoacán,16
6200089265,tomas_sin_macromedidor,2018,260.00000000000000000000,Michoacán,16
6200089265,tomas_sin_macromedidor,2020,284.00000000000000000000,Michoacán,16
6200089265,tomas_sin_macromedidor,2010,126.00000000000000000000,Morelos,17
6200089265,tomas_sin_macromedidor,2012,120.00000000000000000000,Morelos,17
6200089265,tomas_sin_macromedidor,2014,179.00000000000000000000,Morelos,17
6200089265,tomas_sin_macromedidor,2016,284.00000000000000000000,Morelos,17
6200089265,tomas_sin_macromedidor,2018,288.00000000000000000000,Morelos,17
6200089265,tomas_sin_macromedidor,2020,264.00000000000000000000,Morelos,17
6200089265,tomas_sin_macromedidor,2010,34.00000000000000000000,Nayarit,18
6200089265,tomas_sin_macromedidor,2012,38.00000000000000000000,Nayarit,18
6200089265,tomas_sin_macromedidor,2014,231.00000000000000000000,Nayarit,18
6200089265,tomas_sin_macromedidor,2016,255.00000000000000000000,Nayarit,18
6200089265,tomas_sin_macromedidor,2018,296.00000000000000000000,Nayarit,18
6200089265,tomas_sin_macromedidor,2020,321.00000000000000000000,Nayarit,18
6200089265,tomas_sin_macromedidor,2010,149.00000000000000000000,Nuevo León,19
6200089265,tomas_sin_macromedidor,2012,102.00000000000000000000,Nuevo León,19
6200089265,tomas_sin_macromedidor,2014,103.00000000000000000000,Nuevo León,19
6200089265,tomas_sin_macromedidor,2016,3.00000000000000000000,Nuevo León,19
6200089265,tomas_sin_macromedidor,2018,1.00000000000000000000,Nuevo León,19
6200089265,tomas_sin_macromedidor,2020,0.00000000000000000000,Nuevo León,19
6200089265,tomas_sin_macromedidor,2010,983.00000000000000000000,Oaxaca,20
6200089265,tomas_sin_macromedidor,2012,1150.00000000000000000000,Oaxaca,20
6200089265,tomas_sin_macromedidor,2014,1326.00000000000000000000,Oaxaca,20
6200089265,tomas_sin_macromedidor,2016,1151.00000000000000000000,Oaxaca,20
